kcal_scn,SSP_scn,measure,diet_scn,waste_scn,tech_scn,env_item,year,value,,,Environmental analysis:,,,,,,,
2100kcal,SSP2,abs,BMK,full_w,BMK,GHGe,2010,5219.358258,,,"> env indicator: environmental indicator (GHGe=GHG emissions (MtCO2-eq), land=cropland use (1000 km2), water=bluewater use (km3), nitr=nitrogen application (GgN), nitrogen application and fixation (nitr_sfert, GgN), nitrogen surplus (nitr_splus, GgN), phos=phosphorus application (GgP)",,,,,,,
2100kcal,SSP2,abs,BMK,full_w,BMK,GHGe,2030,7648.583864,,,"> tech_scn: technology scenario, including benchmark technologies (BMK), technological change of medium ambition (TECH), and technological change of high ambition (TECH_p) ",,,,,,,
2100kcal,SSP2,abs,BMK,full_w,BMK,GHGe,2050,9781.254959,,,"> waste_scn: waste scenario, including no changes to food loss and waste (full_w), and halving of food loss and waste (half_w)",,,,,,,
2100kcal,SSP2,abs,BMK,full_w,BMK,land,2010,12621.27297,,,"> diet_scn: diet scenarios, including benchmark diets (BMK), flexitarian diets (FLX), with high milk consumption (FLX_hmilk) or with high red-meat consumption (FLX_hredmeat), pescatarian diets (PSC), vegetarian diets (VEG), vegan diets (VGN)",,,,,,,
2100kcal,SSP2,abs,BMK,full_w,BMK,land,2030,17274.77182,,,"> kcal_scn: calorie scenario, including 2500 kcal/d representative of active adults, and 2100 kcal/d representative of total population average",,,,,,,
2100kcal,SSP2,abs,BMK,full_w,BMK,land,2050,21085.22251,,,"> measure: absolute values (abs), absolute changes (chg), percentage changes (pct), absolute changes relative to 2010 (chg_2010), percentage changes relative to 2010 (pct_2010)",,,,,,,
2100kcal,SSP2,abs,BMK,full_w,BMK,water,2010,1807.077995,,,"> waste_scn: waste scenario, including no changes to food loss and waste (full_w), and halving of food loss and waste (half_w)",,,,,,,
2100kcal,SSP2,abs,BMK,full_w,BMK,water,2030,2475.413489,,,> food_group: food group,,,,,,,
2100kcal,SSP2,abs,BMK,full_w,BMK,water,2050,2982.37033,,,"> region: regions and countries, including high-income (HIC), upper middle-income (UMC), lower middle-income (LMC), low-income (LIC), and all regions (all-r)",,,,,,,
2100kcal,SSP2,abs,BMK,full_w,BMK,nitr,2010,103680.475,,,"> year: year of analysis, including 2010, 2030, and 2050",,,,,,,
2100kcal,SSP2,abs,BMK,full_w,BMK,nitr,2030,134794.2305,,,,,,,,,,
2100kcal,SSP2,abs,BMK,full_w,BMK,nitr,2050,156918.8418,,,,,,,,,,
2100kcal,SSP2,abs,BMK,full_w,BMK,phos,2010,17848.76872,,,kcal_scn,2100kcal,,,,,,
2100kcal,SSP2,abs,BMK,full_w,BMK,phos,2030,23536.5958,,,SSP_scn,SSP2,,,,,,
2100kcal,SSP2,abs,BMK,full_w,BMK,phos,2050,27451.70716,,,measure,pct,,,,,,
2100kcal,SSP2,abs,BMK,full_w,BMK,nitr_splus,2010,134394.9583,,,year,2050,,,,,,
2100kcal,SSP2,abs,BMK,full_w,BMK,nitr_splus,2030,172897.73,,,,,,,,,,
2100kcal,SSP2,abs,BMK,full_w,BMK,nitr_splus,2050,200481.2935,,,Sum of value,Column Labels,,,,,,
2100kcal,SSP2,abs,BMK,full_w,BMK,nitr_sfert,2010,131801.6707,,,Row Labels,GHGe,land,water,nitr,nitr_sfert,nitr_splus,phos
2100kcal,SSP2,abs,BMK,full_w,BMK,nitr_sfert,2030,171997.4421,,,BMK,,,,,,,
2100kcal,SSP2,abs,BMK,full_w,BMK,nitr_sfert,2050,199447.0458,,,full_w,,,,,,,
